name,cost,type,rules,flavor,metatype,name2,cost2,type2,rules2
Tovolle Shimenollebunill,W,Planeswalker - Tovolle (Loyalty 4),"
+1: up to X target red creatures get +3/+3 until end of turn, where X is the number of black spells with converted mana cost 4 or less cast this turn

-4: target Myr gains protection from creatures with total power and toughness 2 or less until end of turn

-7: up to three target creatures get +3/+3 until end of turn and those creatures get +6/+6 until end of turn
","--Her recess made of apple kills a single sail and proves better than even the grandest kitten
– Inesch Koasloubo, Harsh Mage",double,Tovolles Exhumation,1BB,Instant,Return target creature card from your graveyard to the battlefield
Elvish Droid,2G,Artifact Creature - Elf Druid (2/1),"
All nonlegendary lands can't be the target of activated abilities

Cumulative upkeep GGG

2, Sacrifice ~this~: destroy target land

All untapped enchantments are creatures with power and toughness 
equal to their converted mana cost in addition to their other types

Whenever a creature regenerates, you may Discard a card. 
If you do, target permanent can't be the target of activated abilities until end of turn",,,,,,
Scrapyard Underling,B,Artifact Creature - Zombie Dragon Minion (2/2),"
Flying

At the beginning of each player's end step, target opponent may return a creature card from his or her graveyard to hand

Sacrifice ~this~: target white creature gets -3/-5 until end of turn",,,,,,
Desaturate,1,Instant,"
Destroy target enchantment","--Every mightiest twig may wall off
For his winter can defeat even the greatest deer
– Ugin",,,,,
Mistgrove Watchtower,,Land,"
3, T: add 1 to your mana pool

When ~this~ enters the battlefield, destroy target creature with flying

All enchantments can't be the target of spells and activated abilities","--His police enlightens even the wisest beggar
– Otiepo Ubetuag, Soldier Spy",,,,,
Percussive Maintenance,2W,Sorcery - Generated,"
Target artifact is a 3/3 creature in addition to its other types until end of turn","--Humanity endures a single badge and decays more impressively than the fastest dirt ever would
Because even the aspirational cow collapses the fruit
– LiveJournal, the great",,,,,
Greedy Magpie,1U,Creature - Bird (1/1),"
Flying

Pay 2 life: draw a card",,,,,,
Gruul Trumpeteer,RG,Creature - Human Warrior (3/2),"
R: put a Speed counter on target creature
G: put a Reach counter on target creature

T: each creature with a speed counter on it gets +2/+0 until end of turn

Whenever ~this~ leaves the battlefield, destroy target nonlegendary artifact you control

When ~this~ enters the battlefield, up to two target blocking creatures gain ''
If a creature would be dealt damage, that damage is dealt to target creature instead'' 
(This effect doesn't end)",,,,,,
Warmachine Supplier,W,Creature - Human Soldier (1/1),"
T: put a +1/+1 counter on ~this~

Remove a +1/+1 counter from ~this~: you may search your library for a artifact card, reveal it, and put it into your hand. 
If you do, you shuffle that library afterwards.",,,,,,
Aboshan's Denial,2U,Instant,"
Flashback U

Counter target spell",,,,,,
Burial Ground Occupant,RG,Creature - Human Shaman (2/1),"
Whenever ~this~ deals combat damage to a player, you may Tap an untapped permanent you control. 
If you do, target opponent may return up to four creature cards from his or her graveyard to hand

All permanents are red

When ~this~ leaves the battlefield, search your library for a land card and put it into hand, then shuffle your library",,,,,,
Spiritground Protector,WW,Artifact Creature - Kithkin Samurai (1/2),"
Bushido 4

Whenever one or more enchantments leaves the battlefield, attach target Equipment to 
target creature with toughness 6 or more. (Control of that Equipment doesn't change.)

When ~this~ leaves the battlefield, ~this~ deals 7 damage to target attacking or blocking creature. 
When a creature damaged this way is put into a graveyard from the battlefield this turn, 
return it to the battlefield under your control.

Whenever ~this~ deals combat damage to a creature, ~this~ deals 5 damage to 
each attacking or blocking creature and tap that creature",,,,,,
Poison the Drinks,1B,Sorcery,"
Target opponent gets 2 poison counters",,,,,,
"Steve, Gishaths Advocate",G,Legendary Creature - Human Shaman (1/2),"
When ~this~ enters the battlefield, add RW to your mana pool

Discard a enchantment card: regenerate up to three target untapped creatures

All tapped multicoloured creatures get +3/+3",,,,,,
Lava Kingsblade,(R/G)(R/G),Sorcery,"
~this~ deals 6 damage to target creature or player.","--Her sword forces more beautifully than the best reward
But even the fiercest thrill harms more profoundly than the grandest crown
– Eikyll Chiwaicha, Shaman King",,,,,
Recyclomorphis,R,Sorcery - Arcane,"
Add 1 to your mana pool. Spend this mana only on spells and activated abilities..",,,,,,
Excavate the Fallen,WWW,Sorcery,"
You may return up to one artifact cards from your graveyard to hand.","--only the greatest achieve can defeat the best dress
– oldtreecutter13 (uncomfirmed)",,,,,
Divine Challenge,4,Sorcery,"
Clash with an opponent. If you win, you may search your library for a enchantment card, 
reveal it, and put it into your hand. 
If you do, you shuffle that library afterwards and destroy target black creature

Storm",,,,,,
Groups' Merriment,RGW,Enchantment,"
Pay 2 life: each player may search his or her library for a creature card, 
reveal it, and put it into his or her hand. If those players does, those players shuffles that library afterwards.

When ~this~ enters the battlefield, you may Discard a card. 
If you don't, each player may search his or her library for up to one basic land card and put it into hand. 
Each player who searched his or her library this way shuffles it.",,,,,,
Academy Scholar,(W/U),Creature - Vedalken Wizard (1/1),"
When you control no Mountains, flip ~this~.

Sacrifice ~this~, Tap an untapped Plains you control: return any number of target Wizards to their owner's hand
","--Her action competes more impressively than even the wisest team
– Unattributed",kami,"Fizzl, Dean of Denial",,Legendary Creature - Vedalken Wizard (1/7),"2, Pay 4 life: counter target spell or ability Sacrifice a creature: 
exchange control of target tapped land you control and target permanent of the same type target opponent controls 

Pay 3 life: up to three target Wizards get -2/-0 until end of turn"
Pasts' Agonies,UB,Sorcery,"
Buyback B, Flashback 2BB

~this~ deals 2 damage to target creature. Creatures damaged this way can't be regenerated this turn.",,,,,,
Tend the Wounded,W,Instant,"
Regenerate two target nonblue creatures.",,,,,,
Gingermans Feat,RR,Instant - Arcane,"
Choose one: 
target creature with haste can't be blocked by more than one creature (This effect doesn't end); 
or copy target Generated spell and you may choose new targets for the copy",,,,,,
Prophecy of the Doombringer,WUBRG,Enchantment,"
BB: ~this~ deals 5 damage to each of two target players

When ~this~ enters the battlefield, put a doom counter on target creature

Tap an untapped Swamp you control: regenerate target permanent with a doom counter on it",,,,,,
Subtle Replication,RR,Instant,"
Affinity for lands

Copy target instant or sorcery spell and you may choose new targets for the copy.","--His marble embiggens the sleet
– hyperpuppy64 (ascended)",,,,,
Senior Samurai,4WWW,Creature - Human Samurai (3/2),"
Bushido 7

At the beginning of each opponent's upkeep, flip ~this~.

W: ~this~ gets +0/+1 until end of turn
",,kami,"Rojin, Retired Swordsman",,Legendary Creature - Human Samurai (4/6),"Bushido 1 

Discard a card: ~this~ deals 1 damage to target attacking or blocking creature 
for each spell cast this turn. This damage can't be prevented. 
If a creature damaged this way would be put into a graveyard this turn, exile it instead 

Sacrifice ~this~, T: two target permanents gain protection from white until end of turn"
Twisted Youth,R,Instant,"
Target creature with toughness 2 or less can't block until end of turn

2: do nothing","--only the best fang forces the proper shop and damages more profoundly than the most awesome chin will
Whilst the stalwart route proves better than the horse
– Unknown",,,,,
Not a Savanah Reprint,,Land,"
T: add G to your mana pool

T: add W to your mana pool. Spend this mana only on spells.",,,,,,
Solemn Behemoth,1R,Creature - Dragon Shaman (3/3),"
Flying

At the beginning of each opponent's end step, target player may Discard a instant card. 
If that player doesn't, ~this~ can't be blocked by more than one creature until end of turn",,,,,,
Terramorphic Oceancliff,,Land,"
Sacrifice a land, T, sacrifice ~this~: search your library for a land card and put it into the battlefield, then shuffle your library

T: add U to your mana pool

T: add R to your mana pool","--Even the bravest street pauses the bravest sack
– The Internet IV",,,,,
Caustic Sprites,BBB,Creature - Zombie Faerie Wizard (3/1),"
Flying

Sacrifice ~this~: an opponent gets 1 poison counter

Sacrifice a Mountain: two target creatures with deathtouch get -3/-7 until end of turn",,,,,,
Fiercefang Apparition,RGW,Creature - Snake (3/1),"
If ~this~ would be dealt damage, prevent 6 of that damage

All artifacts can't be the target of spells

Soulshift 4","--Her toad surprises the bravest alarm
– Unattributed (sic)",,,,,
Abysmal Fog,3BB,Enchantment,"
As long as you control a permanent, All legendary permanents gain protection from white

All creatures can't block","-- When provoked, A single icicle proves better than even the cactus
Because humanity surprises the fiercest vacation
– Traditional",,,,,
Seeking the promised land ,4W,Instant - Generated,"
Each player may search his or her library for up to two land cards and put them into the battlefield. 
Each player who searched his or her library this way shuffles it.",,,,,,
Aggressive Recycling ,2G,Enchantment,"
All artifacts gain ''At the beginning of each opponent's upkeep, you may Sacrifice a Mountain. 
If you do, you may search your library for a land card, 
reveal it, and put it into your hand. If you do, you shuffle that library afterwards.''",,,,,,
Tusuki General,WW,Creature - Bird (3/1),"
Flying
All creatures gain first strike
activated abilities that aren't mana abilities cost any player up to 3 less to cast","-- When provoked, A single stew made of iron amuses faster than even the most stalwart cattle
– Nursery Rhyme (Trad.)",,,,,
Chromification,2,Enchantment - Aura,"
Enchant permanent
Enchanted permanent is a artifact in addition to its other types","--Every veil rallies to a single bath
– Blanoochie Cruelfoot, Chief Officer of the Shattered Castle",,,,,
Sudden identity switch,3UUUU,Sorcery,"
Exchange control of target nonwhite creature you control and target permanent of the same type target opponent controls.","--Her glove improves better than the best afternoon
Whilst just one tool guards faster than the best fang
– Seeliast Droasninush, Deft King, Head Warmaster of the Shattered Forest",,,,,
Sitashot Umuf,R,Planeswalker - Sitashot (Loyalty 2),"
+1: ~this~ deals 1 damage divided as you choose among any number of target creatures

-4: ~this~ deals 4 damage to target creature

-6: attach target Equipment to target red creature. Gain control of that Equipment until end of turn",,,,,,
Tusukian wisdom,2WW,Instant - Arcane,"
You may return a enchantment card from your graveyard to hand.",,double,High Priced Looter,1UU,Instant,"Draw a card, then discard a card"
Mind Bend,3R,Instant - Arcane,"
Buyback 1

Target artifact creature gets +3/-3 until end of turn",,,,,,
Ruinous Chant,(B/R)(B/R)(B/R)(B/R),Sorcery,"
Destroy two target lands.","--Every most aspirational cracker made of solid may sing
– Ipiap Annaria Nightfoot",,,,,
Mechcritter Tutor,4G,Sorcery,"
Kicker X red mana, where X is the amount of mana in your mana pool
If you paid the first kicker cost, regenerate up to Y target artifact creatures,
where Y is the number of lands on the battlefield

You may search your library for a creature card, 
reveal it, and put it into your hand. If you do, you shuffle that library afterwards.",,,,,,
Merfolk Sliverherder,WUB,Creature - Merfolk Wizard (1/1),"
Shroud

All Slivers can't be blocked except by creatures with total power and toughness 3 or more
",,double,Herders Pitfall,UBR,Sorcery,Destroy target nonblack creature. It can't be regenerated.
Patient Shieldwing,4W,Creature - Bird Samurai (1/1),"
Flying, Bushido 3

Whenever you cast a artifact spell, all multicoloured creatures can't attack until end of turn

T, Pay 4 life: tap any number of target black permanents","--The frog kicks better than the fiercest stove could
– DomriRade, the wise sage",,,,,
Dualcast,1R,Instant,"
Copy target instant spell and you may choose new targets for the copy","--Her son transcends even the mightiest scarf
Yet just one clover coils greater than the fiercest kite will
– Ere Tedich, Fleet Merchant",,,,,
Axebearer Beast,3R,Creature - Beast (2/1),"
Whenever ~this~ enters the battlefield, attach target Equipment to target creature. 
(Control of that Equipment doesn't change.)

At the beginning of your upkeep, you may pay 1RR. If you do, add 2 to your mana pool",,,,,,
Mechbot Scrapyard,,Land,"
~this~ enters the battlefield tapped.

Sacrifice a Golem, T: add 3 to your mana pool",,,,,,
Breakspeed Beangrowth,RG,Instant,"
Two target permanents gain ''All creatures get +3/-3'' until end of turn","--A single bean collapses even the most beautiful lumber
– Elspeth Tirel, the black",,,,,
All Suns Flare,WUBRG,Instant,"
~this~ deals 1 damage to target attacking or blocking creature for each land on the battlefield",,,,,,
Rivertwist,1UU,Instant,"
Return up to five target blue creatures to their owner's hand

Madness 4","--Even the trail can twist
– Thimmajass, Silver Traitor",,,,,
Light of Confusion,1WUBRG,Enchantment,"
At the beginning of your end step, untap target creature and gain control of it until end of turn. 
It gains haste until end of turn. and return that creature to its owner's hand. ","(Until end of turn ends in the cleanup step, it doesn't matter because it will be in someone's hand after this resolves. You wouldn't control the creature until your next turn is what I'm saying. -Roi.)",,,,,
Naturetithe Shaman,4R,Creature - Human Shaman (2/1),"Haste

When the number of basic land types among lands you control is 2 or less, flip ~this~.",,kami,Silent Emissary,,Legendary Creature - Human Shaman (2/1),"Whenever ~this~ regenerates, put two 1/1 green Snake creature tokens onto the battlefield 

Spells and activated abilities that aren't mana abilities cost your opponents an additional ''Discard a card'' to cast 

Whenever ~this~ is dealt damage, target opponent may Tap an untapped legendary land he or she controls. 
If that player does, ~this~ gets +4/-4 until end of turn"
Shieldwing Goose,GGGGW,Creature - Bird (1/1),"
Flying

When ~this~ leaves the battlefield, regenerate target facedown creature

4, T: up to one target nonred creatures get +0/+7 until end of turn","--Even the best stage can defeat the fastest goose
– Anonymous (dead)",,,,,
Breakfast Prayers,1WWW,Sorcery - Arcane,"
Regenerate target white creature",,,,,,
One or All,UB,Instant,"
Choose one: 
you sacrifice a land. destroy target creature and you may search your library for a card, 
reveal it, and put it into your hand. If you do, you shuffle that library afterwards.; 
or destroy all creatures; 
or up to one target creatures with power 4 or less get -3/-3 until end of turn

Entwine Discard a enchantment card, Pay 3 life",,,,,,
Voice of Prayers ,WUBRG,Creature - Angel (3/2),"
Flying

W: put a +1/+1 counter on ~this~
3W, T, remove any number of +1/+1 counters from ~this~: 
~this~ deals that much damage to target attacking or blocking creature
Discard a card: put a 1/1 black Cleric creature token onto the battlefield
3W, Pay 1 life, sacrifice a Cleric: ~this~ can block any number of creatures 
until end of turn
Sacrifice ~this~: put a 1/1 white Soldier creature token onto the battlefield
Sacrifice a Soldier: target Angel gets +1/+1 until end of turn
","--His sail can crush even the most skilled wing
Because his fruit forces more profoundly than even the confused dog
– Blealach Alococho, Warrior of the Fell",double,Voice of Dread,3B,Creature - Zombie (2/1),"Wither

At the beginning of each player's upkeep, put a +1/+1 counter on ~this~ 

2, Tap an untapped permanent you control, remove three +1/+1 counters from ~this~: 
destroy all nonblack creatures. They can't be regenerated. "
He's confused but he's got the spirit,G,Instant,"
Put a +1/+1 counter on target creature","--The confused brother may enjoy
– Terie Fege the Sage",,,,,
Healed Hawk,W,Creature - Bird Soldier (2/2),"
Flying

WW, T: attach target Equipment to target creature with lifelink. 
(Control of that Equipment doesn't change.) . 
When that creature blocks a creature this turn, flip ~this~.",,kami,"Gandalf, the Tithetaker",,Legendary Creature - Bird Soldier (1/2),"Flying 

Whenever ~this~ regenerates, you may pay 4WUBRG. 
If you do, ~this~ deals 1 damage to target attacking or blocking creature 

Threshold - If you have seven or more cards in your graveyard, All untapped artifact creatures gain 
Spells cost all players 1 more to cast 

3WW: any number of target creatures get +0/+1 until end of turn 

When ~this~ is put into a graveyard from the battlefield, target player may Pay 4 life. 
If that player does, ~this~ deals 1 damage to each attacking or blocking creature. 
If a creature damaged this way would be put into a graveyard this turn, exile it instead"
Caller of the Vile,B,Creature - Human Rogue (2/2),"
T, Discard a card: target permanent gains ''protection from white'' until end of turn

Threshold - If you have seven or more cards in your graveyard, any player may cast black creature spells by paying ''X, 
where X is the number of Arcane spells with converted mana cost 2 or less cast this turn'' rather than paying their mana cost",Run! You Fools!,,,,,
Nanobot boost,3,Sorcery - Arcane,"
Choose one: target artifact gains protection from white until end of turn and untap that permanent; or target creature with power 2 or more gets +1/+1 until end of turn",,,,,,
Library Staff,WB,Creature - Human Wizard (1/2),"
3: target opponent reveals cards from the top of his or her library until that player reveals a instant card, puts that card into hand, and puts the rest into his or her graveyard

When ~this~ enters the battlefield, counter target spell or ability
",,double,Library Ghost,1UUUU,Creature - Illusion Wizard (3/2),~this~ is unblockable
Beastkin Tutor,R,Sorcery - Arcane,"
Kicker 1RG

If you paid the first kicker cost, you put two 3/3 green Beast creature tokens onto the battlefield
you reveal cards from the top of your library until you reveal a sorcery card, put that card into hand, and exile the rest.",,,,,,
Toolthief Mage,3,Creature - Human Wizard (3/3),"
When ~this~ is exiled, all creatures get +1/-4 until end of turn

Whenever one or more creatures blocks, attach target Equipment to target creature. (Control of that Equipment doesn't change.)","--The advice enlarges the hugest frog
Although world increases faster than the mightiest house
– Icairla the Fleet",double,Workshop Apparition,GW,Creature - Spirit (2/2),"2WW: each player may return two artifact cards from his or her graveyard to hand Haunt 

When ~this~ enters the battlefield or the creature this haunts is put into a graveyard from the battlefield, 
up to four target permanents you control are white (This effect doesn't end)"
Mechamorphic Growth,G,Sorcery - Generated,"
Target artifact creature gets +1/+1 until end of turn for each permanent you control",,,,,,
Coordinated Strike,GUU,Instant,"
~this~ deals 1 damage to target attacking or blocking creature for each Soldier you control. Creatures damaged this way can't be regenerated this turn",,,,,,
Doomsayers Servant,2BB,Creature - Zombie Bird Minion (2/1),"
Flying

T, Sacrifice a creature with total power and toughness X or more, where X is the amount of mana in your mana pool: put a doom counter on target enchantment
Discard a artifact card, Discard a creature card: put a doom counter on target creature

Each enchantment with a doom counter on it gains ''4B: regenerate all white creatures''

When ~this~ is exiled, you may pay 4W. If you do, each opponent loses 2 life and you gain that much life",,,,,,
Naturecall Bladedancer,RGW,Creature - Human Warrior (2/2),"
Whenever you tap a land for mana, each player may search his or her library for up to two land cards and put them into hand. Each player who searched his or her library this way shuffles it.","--Nature writes more swiftly than even the dress
– Azul (dead)",,,,,
Beetlefield Infestation,4GG,Enchantment - Aura,"
Enchant permanent

2GGG: target artifact gains ''Sacrifice ~this~, Pay 3 life: destroy two target lands'' (This effect doesn't end)

Enchanted permanent is a Plains land in addition to its other types

Morph 2G","--Her beetle made of solid coils faster than the bravest face
– The Eldrazi of Innistrad",,,,,
Python Sphere,GG,Creature - Snake (3/2),"
T: put a +1/+1 counter on ~this~

Discard a card, Pay 2 life, remove a +1/+1 counter from ~this~: draw a card

Sacrifice a nonbasic land, remove a +1/+1 counter from ~this~: put three 1/1 green Snake creature tokens onto the battlefield",-Slithers of wisdom shrank the mind of the sane.,,,,,
Return of the Fallen,W,Enchantment,"
When ~this~ enters the battlefield, you may return up to four creature cards with converted mana cost 4 from your graveyard to the battlefield (Read that one more time)","--""Four of Fours, hah. Nice""",,,,,
Curious Aerolem,3RRR,Artifact Creature - Golem Wizard (2/3),"
Flying

When ~this~ enters the battlefield, attach target Equipment to target creature with power X or less, where X is the number of cards in an opponent's hand. (Control of that Equipment doesn't change.)",,,,,,
Safe Trail,1UUU,Enchantment,"
Whenever you draw a card, until end of turn, if a multicoloured creature would deal damage to a player, target player may sacrifice a multicoloured creature. If that player doesn't, prevent 4 of that damage

All multicoloured creatures gain ''All unblocked green creatures are the colour of your choice''","-- When angered, Nature bounces bigger than even the fiercest tray
– Jamie7Keller, the wonder",,,,,
Annoying Emberwing,4R,Creature - Dragon (2/1),"
Flying

Provoke (during your declare attackers step, untap a creature the defending player controls and require that creature to block the attacking creature with provoke. The block must still be legal, e.g. a non-flying creature cannot block a flying creature even when Provoke is used on it. )",,,,,,
Swiftshear Scissors,WUBRG,Tribal Artifact - Golem,"
Whenever a creature enters the battlefield, any number of target blue creatures can't be blocked except by creatures with total power and toughness 1 or less (This effect doesn't end)","-- When sleepy, Her wool can defeat even the tool
– Soanoul, Harsh King",,,,,
Gravedigger Outcast,3GGGG,Creature - Elf Shaman (2/1),"
2G: you may return a permanent card from your graveyard to the battlefield",,,,,,
Deathbed Priest,1BBB,Creature - Human Cleric (3/1),"
Ninjutsu 3UBR

If ~this~ would regenerate, any player may pay X colourless mana, where X is the number of basic land types among lands you control. If a player does, instead ~this~ gains protection from red until end of turn",,,,,,
Segovian Toebiter ,3R,Creature - Beast (1/1),"
When ~this~ enters the battlefield, target player may pay 4RR. If that player does, put a speed counter on target artifact

~this~ attacks each turn if able

4R, Sacrifice a white creature: put a speed counter on target creature
Each enchantment with a speed counter on it gains protection from sorcery spells

1R: return target permanent to its owner's hand","--Nature collapses the shape
Whilst the proper treatment floats bigger than the greatest yard
– Treeria Tatoni, Rebel of the Forest",,,,,
The old Switcheroo,3UUU,Sorcery,"
Exchange control of target land you control and target permanent of the same type target opponent controls","-Hold my permanents, I'm going in!",,,,,
Redditors Cakeday,G,Instant,"
Target opponent may search his or her library for a land card, reveal it, and put it into his or her hand. If that player does, that player shuffles that library afterwards.","--Even the best birthday envies
Although the proper ball judges louder than even the most aspirational toes
– Eigauch Laipi, Warrior of the Desert",,,,,
Flood the Plains,(W/U)(W/U),Instant,"
Search your library for a Island card and put it into hand, then shuffle your library",Haha Water go splish,,,,,
Treecrown Sanctum,,Land,"
T: add G to your mana pool

Tap an untapped nonlegendary permanent you control: regenerate all Birds",,,,,,
Ghostcaller Terror,4BB,Creature - Horror (3/1),"
2: draw a card

Whenever you lose life, you put two 1/1 white Spirit creature tokens onto the battlefield",,double,One with Emptiness,3G,Enchantment,Convoke
Springleaf Ablazer,1R,Creature - Elemental (1/1),"
Whenever one or more Mountains are put into a graveyard from the battlefield, destroy all lands

All creatures with both power and toughness 1 or less gain ''When ~this~ is put into a graveyard from the battlefield, up to six target creatures with power 2 gain protection from green until end of turn''",,,,,,
Snakes on a plane,WUBRG,Sorcery,"
Choose one: destroy target artifact an opponent controls; or clash with an opponent. If you win, put three 1/1 green Snake creature tokens onto the battlefield","--Every mightiest park flees
– Anonymous",,,,,
Angels Mahsi,G,Sorcery,"
You gain 2 life 

Untap up to one library","--Even one toe twists the proper twig and enlightens the glove
– Unknown",,,,,
Lifeforce Mechangelist,4W,Creature - Human Cleric (1/1),"
All Golems have ''When ~this~ is put into a graveyard from the battlefield, target opponent may Tap an untapped red creature he or she controls. 
If that player does, attach target Aura to target untapped artifact creature. Gain control of that Aura until end of turn''

When ~this~ enters the battlefield, you may tap an untapped red permanent you control. If you don't, all creatures with power 1 or more gain lifelink (This effect doesn't end)",,,,,,
Bonfire Beast,3GG,Creature - Beast (2/2),"
At the beginning of your upkeep, add two mana of any one colour to your mana pool (your mana pool is emptied at the end of the upkeep step)  

All lands can't be the target of activated abilities","--Every best fireman kills
– Shime Yyliciat Wisetongue",,,,,
Ifopholesemej Ereta,4WWW,Planeswalker - Ifopholesemej (Loyalty 5),"
+2: each player may search his or her library for up to four land cards and put them into the battlefield. Each player who searched his or her library this way shuffles it.

-1: untap target permanent and/or library

-9: each player gains 5 life","--The bravest believe can pause a single bubble
– Thufel Shialus Nightheart",,,,,
